I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-43,-141,-97,92,26,-119,-39,-87,-126,-82,102,-122, 
-43,-141,-97,92,26,-119,-39,-87,-126,-82,102,-122, 
-43,-146,-102,95,29,-124,-39,-87,-126,-82,102,-122, 
-43,-146,-102,95,29,-124,-39,-87,-126,-82,102,-122, 
-43,-136,-92,90,24,-114,-39,-78,-131,-87,112,-122, 
-48,-136,-87,92,19,-112,-39,-78,-131,-87,107,-122, 
-48,-131,-82,90,17,-107,-39,-78,-131,-87,107,-122, 
-48,-131,-82,90,17,-107,-39,-78,-131,-87,107,-117, 
-39,-117,-78,78,19,-97,-39,-78,-131,-87,126,-107, 
-43,-112,-68,78,12,-90,-43,-78,-131,-87,122,-107, 
-34,-112,-78,73,21,-95,-34,-58,-122,-82,122,-107, 
-34,-122,-87,78,26,-104,-19,-39,-107,-63,131,-107, 
-43,-136,-92,90,24,-114,-4,14,-73,-48,141,-92, 
-39,-146,-107,92,34,-126,34,97,-14,-9,165,-73, 
-19,-141,-122,80,51,-131,82,209,73,53,214,-48, 
-9,-141,-131,75,61,-136,156,341,161,117,258,-29, 
-4,-146,-141,75,68,-143,248,473,244,170,307,-14, 
9,-126,-136,58,73,-131,336,619,356,258,385,29, 
29,-53,-82,12,56,-68,419,775,492,370,473,92, 
53,19,-34,-36,43,-7,512,888,629,497,580,165, 
87,92,4,-90,41,48,561,946,761,629,692,263, 
141,185,43,-163,48,114,512,839,844,766,824,366, 
185,302,117,-244,34,209,390,600,888,888,946,473, 
234,409,175,-322,29,292,263,346,922,1019,1088,600, 
302,502,200,-402,51,351,92,82,961,1151,1254,751, 
356,585,229,-470,63,407,-107,-214,971,1254,1385,888, 
400,668,268,-534,65,468,-317,-512,927,1283,1468,995, 
444,732,287,-588,78,509,-575,-805,795,1224,1459,1034, 
458,790,331,-624,63,561,-863,-1102,546,995,1312,990, 
448,863,414,-656,17,639,-1151,-1356,204,663,1044,858, 
