I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
156, 39, -117, -97, 136, -39, -273, -195, -175, -48, 175, 292, 
156, 39, -117, -97, 136, -39, -273, -195, -175, -48, 175, 292, 
156, 39, -117, -97, 136, -39, -273, -195, -175, -48, 175, 292, 
156, 39, -117, -97, 136, -39, -273, -195, -175, -48, 175, 292, 
170, 43, -126, -107, 148, -41, -273, -200, -180, -53, 185, 297, 
175, 48, -126, -112, 151, -39, -273, -204, -185, -58, 185, 302, 
180, 53, -126, -117, 153, -36, -273, -209, -190, -63, 185, 307, 
185, 58, -126, -122, 156, -34, -273, -214, -195, -68, 185, 312, 
190, 58, -131, -124, 161, -36, -287, -234, -204, -78, 195, 326, 
195, 58, -136, -126, 165, -39, -292, -244, -214, -78, 195, 331, 
200, 58, -141, -129, 170, -41, -297, -253, -224, -78, 195, 336, 
204, 58, -146, -131, 175, -43, -302, -263, -234, -78, 195, 341, 
224, 63, -161, -143, 192, -48, -331, -283, -253, -87, 209, 361, 
234, 68, -165, -151, 200, -48, -351, -302, -263, -87, 214, 370, 
244, 73, -170, -158, 207, -48, -370, -322, -273, -87, 219, 380, 
253, 78, -175, -165, 214, -48, -390, -341, -283, -87, 224, 390, 
253, 73, -180, -163, 217, -53, -434, -366, -307, -102, 229, 409, 
253, 68, -185, -161, 219, -58, -468, -390, -322, -107, 234, 419, 
253, 63, -190, -158, 222, -63, -502, -414, -336, -112, 239, 429, 
253, 58, -195, -156, 224, -68, -536, -439, -351, -117, 244, 439, 
287, 68, -219, -178, 253, -75, -566, -458, -356, -117, 258, 458, 
307, 82, -224, -195, 265, -70, -590, -468, -361, -117, 263, 468, 
326, 82, -244, -204, 285, -80, -610, -478, -370, -117, 273, 478, 
341, 73, -268, -207, 305, -97, -624, -488, -375, -122, 283, 492, 
346, 82, -263, -214, 305, -90, -644, -492, -385, -126, 297, 507, 
351, 97, -253, -224, 302, -78, -653, -507, -395, -126, 297, 517, 
370, 107, -263, -239, 317, -78, -668, -527, -405, -131, 302, 531, 
375, 112, -263, -244, 319, -75, -678, -541, -409, -136, 312, 546, 
375, 112, -263, -244, 319, -75, -688, -556, -419, -146, 317, 566, 
380, 122, -258, -251, 319, -68, -692, -575, -434, -146, 326, 575, 
380, 126, -253, -253, 317, -63, -702, -590, -444, -141, 336, 590, 
366, 126, -239, -246, 302, -56, -707, -610, -453, -136, 346, 600, 
370, 146, -224, -258, 297, -39, -712, -614, -463, -122, 361, 614, 
380, 151, -229, -265, 305, -39, -717, -614, -463, -122, 375, 639, 
400, 156, -244, -278, 322, -43, -732, -614, -463, -122, 385, 653, 
409, 161, -248, -285, 329, -43, -741, -624, -463, -117, 400, 673, 
400, 161, -239, -280, 319, -39, -746, -629, -473, -107, 414, 668, 
400, 161, -239, -280, 319, -39, -746, -639, -478, -112, 414, 673, 
414, 161, -253, -287, 334, -46, -746, -653, -478, -117, 419, 673, 
405, 161, -244, -283, 324, -41, -746, -649, -478, -117, 424, 673, 
370, 170, -200, -270, 285, -14, -736, -658, -473, -112, 434, 668, 
351, 170, -180, -261, 265, -4, -741, -658, -473, -107, 429, 668, 
346, 170, -175, -258, 261, -2, -751, -658, -483, -102, 424, 663, 
341, 170, -170, -256, 256, 0, -756, -658, -483, -97, 424, 658, 
326, 185, -141, -256, 234, 21, -751, -658, -468, -78, 429, 653, 
322, 190, -131, -256, 226, 29, -746, -649, -463, -68, 439, 644, 
317, 195, -122, -256, 219, 36, -741, -649, -458, -58, 448, 634, 
312, 200, -112, -256, 212, 43, -732, -649, -453, -48, 453, 629, 
307, 204, -102, -256, 204, 51, -722, -634, -444, -39, 448, 610, 
302, 204, -97, -253, 200, 53, -717, -619, -434, -29, 448, 605, 
297, 204, -92, -251, 195, 56, -707, -610, -419, -19, 448, 600, 
287, 204, -82, -246, 185, 61, -692, -595, -405, -9, 448, 595, 
273, 195, -78, -234, 175, 58, -678, -570, -380, 0, 444, 566, 
268, 200, -68, -234, 168, 65, -663, -556, -366, 9, 444, 551, 
263, 200, -63, -231, 163, 68, -649, -541, -351, 14, 439, 531, 
239, 185, -53, -212, 146, 65, -644, -527, -336, 24, 424, 512, 
219, 161, -58, -190, 139, 51, -629, -507, -317, 39, 405, 478, 
224, 175, -48, -200, 136, 63, -610, -483, -302, 43, 395, 458, 
214, 180, -34, -197, 124, 73, -585, -463, -292, 48, 385, 439, 
195, 180, -14, -187, 104, 82, -556, -439, -283, 53, 375, 424, 
175, 165, -9, -170, 92, 78, -536, -419, -258, 63, 351, 400, 
161, 151, -9, -156, 85, 70, -517, -400, -244, 63, 336, 375, 
146, 146, 0, -146, 73, 73, -497, -375, -234, 63, 322, 351, 
136, 141, 4, -139, 65, 73, -478, -356, -219, 63, 302, 317, 
